Simple mass spring
g
false
p 51 5
0.0 0.0 -1.0 0.5
0.0 -0.3 -1.0 0.5
0.0 -0.6 -1.0 0.5
0.02 0.0 -1.0 0.5
0.02 -0.3 -1.0 0.5
0.02 -0.6 -1.0 0.5
0.04 0.0 -1.0 0.5
0.04 -0.3 -1.0 0.5
0.04 -0.6 -1.0 0.5
0.06 0.0 -1.0 0.5
0.06 -0.3 -1.0 0.5
0.06 -0.6 -1.0 0.5
-0.02 0.0 -1.0 0.5
-0.02 -0.3 -1.0 0.5
-0.02 -0.6 -1.0 0.5
-0.04 0.0 -1.0 0.5
-0.04 -0.3 -1.0 0.5
-0.04 -0.6 -1.0 0.5
-0.06 0.0 -1.0 0.5
-0.06 -0.3 -1.0 0.5
-0.06 -0.6 -1.0 0.5
0.08 0.0 -1.0 0.5
0.08 -0.3 -1.0 0.5
0.08 -0.6 -1.0 0.5
0.1 0.0 -1.0 0.5
0.1 -0.3 -1.0 0.5
0.1 -0.6 -1.0 0.5
0.12 0.0 -1.0 0.5
0.12 -0.3 -1.0 0.5
0.12 -0.6 -1.0 0.5
0.14 0.0 -1.0 0.5
0.14 -0.3 -1.0 0.5
0.14 -0.6 -1.0 0.5
0.16 0.0 -1.0 0.5
0.16 -0.3 -1.0 0.5
0.16 -0.6 -1.0 0.5
-0.12 0.0 -1.0 0.5
-0.12 -0.3 -1.0 0.5
-0.12 -0.6 -1.0 0.5
-0.14 0.0 -1.0 0.5
-0.14 -0.3 -1.0 0.5
-0.14 -0.6 -1.0 0.5
-0.16 0.0 -1.0 0.5
-0.16 -0.3 -1.0 0.5
-0.16 -0.6 -1.0 0.5
-0.1 0.0 -1.0 0.5
-0.1 -0.3 -1.0 0.5
-0.1 -0.6 -1.0 0.5
-0.08 0.0 -1.0 0.5
-0.08 -0.3 -1.0 0.5
-0.08 -0.6 -1.0 0.5
s 34
0 1 0.4 0.15
1 2 0.4 0.2
3 4 0.4 0.15
4 5 0.4 0.2
6 7 0.4 0.15
7 8 0.4 0.2
9 10 0.4 0.15
10 11 0.4 0.2
12 13 0.4 0.15
13 14 0.4 0.2
15 16 0.4 0.15
16 17 0.4 0.2
18 19 0.4 0.15
19 20 0.4 0.2
21 22 0.4 0.15
22 23 0.4 0.2
24 25 0.4 0.15
25 26 0.4 0.2
27 28 0.4 0.15
28 29 0.4 0.2
30 31 0.4 0.15
31 32 0.4 0.2
33 34 0.4 0.15
34 35 0.4 0.2
36 37 0.4 0.15
37 38 0.4 0.2
39 40 0.4 0.15
40 41 0.4 0.2
42 43 0.4 0.15
43 44 0.4 0.2
45 46 0.4 0.15
46 47 0.4 0.2
48 49 0.4 0.15
49 50 0.4 0.2
